Ranking,University Name,Country,Website,Address,Year of foundation,Source
201-300,North Carolina State University - Raleigh,USA,http://www.ncsu.edu,"North Carolina State University, Raleigh, North Carolina 27695-0001, United States of America",1887,
201-300,Northeastern University (Boston),USA,http://www.northeastern.edu,360 Huntington Ave,1898,
201-300,Oregon Health and Science University,USA,http://www.ohsu.edu,"Oregon Health and Science University, 3181 South West Sam Jackson Park Road, Portland, Oregon 97201-3098, United States of America",1974,
201-300,Paul Sabatier University (Toulouse 3),France,http://www.ups-tlse.fr/,"University Paul Sabatier (Toulouse III), 118, Route de Narbonne - F-31062 Toulouse cedex 9, France",1229,
201-300,Polytechnic Institute of Milan,Italy,http://www.polimi.it,piazza Leonardo da Vinci 32,1863,
201-300,Pompeu Fabra University,Spain,http://www.upf.edu,"Plaça de la Mercè, 10-12",1990,
201-300,Queen's University,Canada,http://www.queensu.ca,99 University Avenue,1841,
201-300,Queensland University of Technology,Australia,http://www.qut.edu.au,2 George Street,1989,
201-300,RWTH Aachen University,Germany,http://www.rwth-aachen.de,Templergraben 55,1870,
201-300,Soochow University (China),China,http://www.suda.edu.cn,No.1 Shizi Street,1900,
201-300,South China University of Technology,China,http://www.scut.edu.cn/,"Wushan RD.,Tianhe District,Guangzhou,P.R.China/Guangzhou Higher Education Mega Centre,Panyu District,Guangzhou,P.R.China",1952,
201-300,Southeast University,China,http://www.seu.edu.cn,中华人民共和国江苏省南京市江宁开发区东南大学路2号；211189,1902年,
201-300,Stony Brook University,USA,http://www.stonybrook.edu,Nicolls Road,1957,
201-300,Sungkyunkwan University,SouthKorea,http://www.skku.edu/eng_home/index.jsp,"25-2, Sungkyunkwan-ro, Jongno-gu",1398,
201-300,Swedish University of Agricultural Sciences,Sweden,http://www.slu.se,"Sveriges lantbruks universitet, PO Box 7070, SE-750 07 Uppsala, Sweden",1977,
201-300,The Hong Kong Polytechnic University,China-hk,http://www.polyu.edu.hk,"Hung Hom, Kowloon,",1937,
201-300,The Hong Kong University of Science and Technology,China-hk,http://www.ust.hk,"The Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong, Hong Kong Special Administration Region, China - Hong Kong SAR",1991,
201-300,The University of Auckland,NewZealand,http://www.auckland.ac.nz,Private Bag 92019,1883,
201-300,The University of Dundee,UK,http://www.dundee.ac.uk,Nethergate,1967,
201-300,The University of Georgia,USA,http://www.uga.edu,220 South Jackson Street,1785,
201-300,The University of Reading,UK,http://www.reading.ac.uk/,"The University of Reading, PO Box 217, Whiteknights, Reading, RG6 6AH, United Kingdom",1892,
201-300,The University of Texas at Dallas,USA,http://www.utdallas.edu,"The University of Texas at Dallas, PO Box 830688, Richardson, Texas 75083-0688, United States of America",1969,
